BI00B1200    2399T52918     202210067289-6159-30             HOUSING FEMALE ASS'Y     CCN000001200000001200FN00000000020221101000001200NNM   20220825122421    4N0N  0000002400000109500000137501200    YCYC    005500360039
BI00B1200    2399T52919     202210207289-6159-30             HOUSING FEMALE ASS'Y     CCN000001200000001200FN00000000020221101000001200NNM   20220825122421    4N0N  0000002400000109500000137501200    YCYC    005500360039
BI00B1200    2399T52917     202210067289-6518-30             HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020221101000002400NNM   20220825122421    1N0N  0000012000000082920000104921200    YCYC    005500360039
BI00B1200    2399T52918     202210067289-6518-30             HOUSING FEMALE ASS'Y     CCN000001200000001200FN00000000020221101000001200NNM   20220825122421    1N0N  0000012000000082920000104921200    YCYC    005500360039
BI00B1200    2399T52919     202210207289-6518-30             HOUSING FEMALE ASS'Y     CCN000001200000001200FN00000000020221101000001200NNM   20220825122421    1N0N  0000012000000082920000104921200    YCYC    005500360039
BI00B1200    2399T52917     202210067289-6523-30             HOUSING FEMALE ASS'Y     CCN000005280000005280FN00000000020221101000005280NNM   20220825122421    4N0N  0000002400000129050000162051200    YCYC    005500360039
BI00B1200    2399T52918     202210067289-6523-30             HOUSING FEMALE ASS'Y     CCN000005280000005280FN00000000020221101000005280NNM   20220825122421    4N0N  0000002400000129050000162051200    YCYC    005500360039
BI00B1200    2399T52919     202210207289-6523-30             HOUSING FEMALE ASS'Y     CCN000005280000005280FN00000000020221101000005280NNM   20220825122421    4N0N  0000002400000129050000162051200    YCYC    005500360039
BI00B1200    2399T52917     202210067289-6524-30             HOUSING FEMALE ASS'Y     CCN000001920000001920FN00000000020221101000001920NNM   20220825122421    4N0N  0000002400000135120000166621200    YCYC    005500360039
BI00B1200    2399T52918     202210067289-6524-30             HOUSING FEMALE ASS'Y     CCN000001920000001920FN00000000020221101000001920NNM   20220825122421    4N0N  0000002400000135120000166621200    YCYC    005500360039
BI00B1200    2399T52919     202210207289-6524-30             HOUSING FEMALE ASS'Y     CCN000001920000001920FN00000000020221101000001920NNM   20220825122421    4N0N  0000002400000135120000166621200    YCYC    005500360039
BI00B1200    2399T52917     202210067289-6547                HOUSING FEMALE ASS'Y     CCN000218400000218400FN00000000020221101000218400NNM   20220825122421    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B1200    2399T52918     202210067289-6547                HOUSING FEMALE ASS'Y     CCN000218400000218400FN00000000020221101000218400NNM   20220825122421    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B1200    2399T52919     202210207289-6547                HOUSING FEMALE ASS'Y     CCN000216000000216000FN00000000020221101000216000NNM   20220825122421    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B1200    2399T52917     202210067289-6597-70             HOUSING FEMALE ASS'Y     CCN000043200000043200FN00000000020221101000043200NNM   20220825122421    4N0N  0000021600000128950000153951200    YCYC    005500360039
BI00B1200    2399T52918     202210067289-6597-70             HOUSING FEMALE ASS'Y     CCN000043200000043200FN00000000020221101000043200NNM   20220825122421    4N0N  0000021600000128950000153951200    YCYC    005500360039
BI00B1200    2399T52919     202210207289-6597-70             HOUSING FEMALE ASS'Y     CCN000043200000043200FN00000000020221101000043200NNM   20220825122421    4N0N  0000021600000128950000153951200    YCYC    005500360039
BI00B1200    2399T52917     202210067289-6868-30             SEALED ASSY FEMALE       CCN000194040000194040FN00000000020221101000194040NNM   20220825122421    4N0N  0000025200000083920000111921200    YCYC    005500360039
BI00B1200    2399T52918     202210067289-6868-30             SEALED ASSY FEMALE       CCN000194040000194040FN00000000020221101000194040NNM   20220825122421    4N0N  0000025200000083920000111921200    YCYC    005500360039
