BI00B1200    H322J50026     202209157298-4094-10             HOUSING FEMALE ASS'Y     CCN000006760000003380FN00000000020221001000003380NNEQ0020220901121518    4N0N  0000033800000109740000135871200    YCYC    005400370024
BI00B32AG    XG22121NMW     202211047116-4121-02             TERMINAL                 CCN000049500000049500FN00000000020221201000049500NNM   20220901150233    4P0P  00000450000000618800000912432AG    XGXGY   006400630015
BI00B32AG    XG22122NMW     202211117116-4121-02             TERMINAL                 CCN000054000000054000FN00000000020221201000054000NNM   20220901150233    4P0P  00000450000000618800000912432AG    XGXGY   006400630015
BI00B32AG    XG22123NMW     202211187116-4121-02             TERMINAL                 CCN000058500000058500FN00000000020221201000058500NNM   20220901150233    4P0P  00000450000000618800000912432AG    XGXGY   006400630015
BI00B32AG    XG22124NMW     202211257116-4121-02             TERMINAL                 CCN000031500000031500FN00000000020221201000031500NNM   20220901150233    4P0P  00000450000000618800000912432AG    XGXGY   006400630015
BI00B32AG    XG22121NMW     202211047116-4122-02             TERMINAL                 CCN000004500000004500FN00000000020221201000004500NNM   20220901150233    4P0P  00000450000000656600000950232AG    XGXGY   006400630015
BI00B32AG    XG22122NMW     202211117116-4122-02             TERMINAL                 CCN000009000000009000FN00000000020221201000009000NNM   20220901150233    4P0P  00000450000000656600000950232AG    XGXGY   006400630015
BI00B32AG    XG22123NMW     202211187116-4122-02             TERMINAL                 CCN000009000000009000FN00000000020221201000009000NNM   20220901150233    4P0P  00000450000000656600000950232AG    XGXGY   006400630015
BI00B32AG    XG22121NMW     202211047116-4415-02             TERMINAL                 CCN000570000000570000FN00000000020221201000570000NNM   20220901150233    4P0P  00003800000000596600000925732AG    XGXGY   006400630017
BI00B32AG    XG22122NMW     202211117116-4415-02             TERMINAL                 CCN000494000000494000FN00000000020221201000494000NNM   20220901150233    4P0P  00003800000000596600000925732AG    XGXGY   006400630017
BI00B32AG    XG22123NMW     202211187116-4415-02             TERMINAL                 CCN000456000000456000FN00000000020221201000456000NNM   20220901150233    4P0P  00003800000000596600000925732AG    XGXGY   006400630017
BI00B32AG    XG22124NMW     202211257116-4415-02             TERMINAL                 CCN000304000000304000FN00000000020221201000304000NNM   20220901150233    4P0P  00003800000000596600000925732AG    XGXGY   006400630017
BI00B32AG    XG22123NMW     202211187126-8853-02             TERMINAL                 CCN000037500000037500FN00000000020221201000037500NNM   20220901150233    4P0P  00000750000000562500000847732AG    XGXGY   006400630015
BI00B32AG    XG22124NMW     202211257126-8853-02             TERMINAL                 CCN000037500000037500FN00000000020221201000037500NNM   20220901150233    4P0P  00000750000000562500000847732AG    XGXGY   006400630015
