BI00B32AG    XG23014NMW     202212237116-4120-02             TERMINAL                 CCN000012000000012000FN00000000020230101000012000NNM   20220929120719    4P0P  00000600000000780000001073632AG    XGXGY   006400630015
BI00B32AG    XG23011NMW     202212027116-4121-02             TERMINAL                 CCN000054000000054000FN00000000020230101000054000NNM   20220929120719    4P0P  00000450000000618800000912432AG    XGXGY   006400630015
BI00B32AG    XG23012NMW     202212097116-4121-02             TERMINAL                 CCN000027000000027000FN00000000020230101000027000NNM   20220929120719    4P0P  00000450000000618800000912432AG    XGXGY   006400630015
BI00B32AG    XG23013NMW     202212167116-4121-02             TERMINAL                 CCN000027000000027000FN00000000020230101000027000NNM   20220929120719    4P0P  00000450000000618800000912432AG    XGXGY   006400630015
BI00B32AG    XG23014NMW     202212237116-4121-02             TERMINAL                 CCN000036000000036000FN00000000020230101000036000NNM   20220929120719    4P0P  00000450000000618800000912432AG    XGXGY   006400630015
BI00B32AG    XG23011NMW     202212027116-4122-02             TERMINAL                 CCN000004500000004500FN00000000020230101000004500NNM   20220929120719    4P0P  00000450000000656600000950232AG    XGXGY   006400630015
BI00B32AG    XG23012NMW     202212097116-4122-02             TERMINAL                 CCN000004500000004500FN00000000020230101000004500NNM   20220929120719    4P0P  00000450000000656600000950232AG    XGXGY   006400630015
BI00B32AG    XG23014NMW     202212237116-4122-02             TERMINAL                 CCN000004500000004500FN00000000020230101000004500NNM   20220929120719    4P0P  00000450000000656600000950232AG    XGXGY   006400630015
BI00B32AG    XG23011NMW     202212027116-4415-02             TERMINAL                 CCN000228000000228000FN00000000020230101000228000NNM   20220929120719    4P0P  00003800000000596600000925732AG    XGXGY   006400630017
BI00B32AG    XG23012NMW     202212097116-4415-02             TERMINAL                 CCN000266000000266000FN00000000020230101000266000NNM   20220929120719    4P0P  00003800000000596600000925732AG    XGXGY   006400630017
BI00B32AG    XG23013NMW     202212167116-4415-02             TERMINAL                 CCN000342000000342000FN00000000020230101000342000NNM   20220929120719    4P0P  00003800000000596600000925732AG    XGXGY   006400630017
BI00B32AG    XG23014NMW     202212237116-4415-02             TERMINAL                 CCN000380000000380000FN00000000020230101000380000NNM   20220929120719    4P0P  00003800000000596600000925732AG    XGXGY   006400630017
BI00B32AG    XG23013NMW     202212167126-8853-02             TERMINAL                 CCN000015000000015000FN00000000020230101000015000NNM   20220929120719    4P0P  00000750000000562500000847732AG    XGXGY   006400630015
BI00B32AG    XG23014NMW     202212237126-8853-02             TERMINAL                 CCN000060000000060000FN00000000020230101000060000NNM   20220929120719    4P0P  00000750000000562500000847732AG    XGXGY   006400630015
BI00B32AG    XG23012NMW     202212097126-8855-02             TERMINAL                 CCN000006000000006000FN00000000020230101000006000NNM   20220929120719    4P0P  00000600000000510600000795832AG    XGXGY   006400630015
BI00B32AG    XG23013NMW     202212167126-8855-02             TERMINAL                 CCN000012000000012000FN00000000020230101000012000NNM   20220929120719    4P0P  00000600000000510600000795832AG    XGXGY   006400630015
BI00B32AG    XG23014NMW     202212237126-8855-02             TERMINAL                 CCN000012000000012000FN00000000020230101000012000NNM   20220929120719    4P0P  00000600000000510600000795832AG    XGXGY   006400630015
BI00B32AG    XG23011NMW     202212027158-3165-90             WIRE SEAL                CCN000040000000040000FN00000000020230101000040000NNM   20220929120719    1C0C  00004000000000124000000172432AG    XGXGY   004300270014
BI00B32AG    XG23012NMW     202212097158-3165-90             WIRE SEAL                CCN000080000000080000FN00000000020230101000080000NNM   20220929120719    1C0C  00004000000000124000000172432AG    XGXGY   004300270014
BI00B32AG    XG23013NMW     202212167158-3165-90             WIRE SEAL                CCN000160000000160000FN00000000020230101000160000NNM   20220929120719    1C0C  00004000000000124000000172432AG    XGXGY   004300270014
BI00B32AG    XG23014NMW     202212237158-3165-90             WIRE SEAL                CCN000160000000160000FN00000000020230101000160000NNM   20220929120719    1C0C  00004000000000124000000172432AG    XGXGY   004300270014
BI00B32AG    XG23011NMW     202212027158-3166-60             WIRE SEAL                CCN000560000000560000FN00000000020230101000560000NNM   20220929120719    1C0C  00004000000000104000000152432AG    XGXGY   002700430014
BI00B32AG    XG23012NMW     202212097158-3166-60             WIRE SEAL                CCN000200000000200000FN00000000020230101000200000NNM   20220929120719    1C0C  00004000000000104000000152432AG    XGXGY   002700430014
BI00B32AG    XG23013NMW     202212167158-3166-60             WIRE SEAL                CCN000320000000320000FN00000000020230101000320000NNM   20220929120719    1C0C  00004000000000104000000152432AG    XGXGY   002700430014
BI00B32AG    XG23014NMW     202212237158-3166-60             WIRE SEAL                CCN000280000000280000FN00000000020230101000280000NNM   20220929120719    1C0C  00004000000000104000000152432AG    XGXGY   002700430014
BI00B32AG    XG23011NMW     202212027158-3167-80             WIRE SEAL                CCN000320000000320000FN00000000020230101000320000NNM   20220929120719    1C0C  00002000000000048000000109032AG    XGXGY   002700430014
BI00B32AG    XG23012NMW     202212097158-3167-80             WIRE SEAL                CCN000100000000100000FN00000000020230101000100000NNM   20220929120719    1C0C  00002000000000048000000109032AG    XGXGY   002700430014
