BI00B1200    Y022I50062     202208187289-9613-30             HOUSING FEMALE ASS'Y     CCN000003840000003840FN00000000020220901000003840NNMD0320220725151300    4N0N  0000002400000126990000154371200    YCYC    005500360039
BI00B1200    2399T52820     202209297289-6868-30             SEALED ASSY FEMALE       CCN000063000000063000FN00000000020221001000063000NNM   20220725121513    4N0N  0000025200000083920000111921200    YCYC    005500360039
BI00B1200    2399T52819     202209227289-9553-30             SEALED ASSY FEMALE       CCN000020580000020580FN00000000020221001000020580NNM   20220725121513    4N0N  0000029400000110900000152151200    YCYC    005500360039
BI00B1200    2399T52820     202209297289-9553-30             SEALED ASSY FEMALE       CCN000020580000020580FN00000000020221001000020580NNM   20220725121513    4N0N  0000029400000110900000152151200    YCYC    005500360039
BI00B1200    2399T52819     202209227289-9553-50             SEALED ASSY FEMALE       CCN000017640000017640FN00000000020221001000017640NNM   20220725121513    4N0N  0000029400000110810000152061200    YCYC    005500360039
BI00B1200    2399T52820     202209297289-9553-50             SEALED ASSY FEMALE       CCN000017640000017640FN00000000020221001000017640NNM   20220725121513    4N0N  0000029400000110810000152061200    YCYC    005500360039
BI00B1200    2399T52819     202209227289-9612-30             HOUSING FEMALE ASS'Y     CCN000000720000000720FN00000000020221001000000720NNM   20220725121513    4N0N  0000002400000134880000166881200    YCYC    005500360039
BI00B1200    2399T52820     202209297289-9612-30             HOUSING FEMALE ASS'Y     CCN000000720000000720FN00000000020221001000000720NNM   20220725121513    4N0N  0000002400000134880000166881200    YCYC    005500360039
BI00B1200    2399T52819     202209227289-9613-30             HOUSING FEMALE ASS'Y     CCN000000480000000480FN00000000020221001000000480NNM   20220725121513    4N0N  0000002400000126990000154371200    YCYC    005500360039
BI00B1200    2399T52820     202209297289-9613-30             HOUSING FEMALE ASS'Y     CCN000000480000000480FN00000000020221001000000480NNM   20220725121513    4N0N  0000002400000126990000154371200    YCYC    005500360039
BI00B1200    #2399T52819    202209227289-4200-30             HOUSING FEMALE ASS'Y     CCN000016000000016000FN00000000020221001000016000NNM   20220725121513    2N0N  0000020000000092600000102101200    YCYC    005400370024
BI00B1200    #2399T52820    202209297289-4200-30             HOUSING FEMALE ASS'Y     CCN000016000000016000FN00000000020221001000016000NNM   20220725121513    2N0N  0000020000000092600000102101200    YCYC    005400370024
BI00B1200    2399T52823     202210067116-4112-02             TERMINAL                 CCN000048000000048000FN00000000020221101000048000NNE   20220725121513    4P0P  0000060000000045000000073821200    YCYC    006400630015
BI00B32B1    A22041         202209167114-4032                TERMINAL                 CCN000007500000007500FN00000000020221101000007500NNM   20220725121513B1  4P0P  00000750000000735000001063632B1    AXARNE-M006400630017
BI00B32B1    #A22041        202209167158-3376-50             CONNECTOR WIRE SEAL      CCN000120000000120000FN00000000020221101000120000NNM   20220725121513B1  2C0C  00002000000000184000000240732B1    AXARNE-M002700430014
BI00B32B1    #A22041        202209167283-8226-30             CONNECTOR                CCN000010000000010000FN00000000020221101000010000NNM   20220725121513B1  2N0N  00000200000000820000001008032B1    AXARNE-M005400370024
BI00B32B6    A72033         202207217116-4037                TERMINAL                 CCN000012000000012000FY00001200020221001000000000NNM00020220725132030B6  4P0P  00000600000000600000000894232B6    AXARNE-M006400630015
BI00B32B6    A72033         202207217288-3339-30             HOUSING MALE             CCN000003000000003000FY00000300020221001000000000NNM00020220725132041B6  4N0N  00000150000000867000001012032B6    AXARNE-M005400370024
