BI00B32AF    JTB2093        202208267116-5097-02             TERMINAL                 CCN000045000000045000FN00000000020220901000045000NNM   20220704121957    4P0P  00002250000000531000000816232AF    HBYHVTB 006400630015
BI00B32AF    JTB2094        202209027116-5097-02             TERMINAL                 CCN000067500000067500FN00000000020220901000067500NNM   20220704121957    4P0P  00002250000000531000000816232AF    HBYHVTB 006400630015
BI00B32AF    JTB2092        202208197116-6041                TERMINAL                 CCN000009000000009000FN00000000020220901000009000NNM   20220704121957    4P0P  00000450000000716000001009632AF    HBYHVTB 006400630015
BI00B32AF    JTB2093        202208267116-6041                TERMINAL                 CCN000013500000013500FN00000000020220901000013500NNM   20220704121957    4P0P  00000450000000716000001009632AF    HBYHVTB 006400630015
BI00B32AF    JTB2094        202209027116-6041                TERMINAL                 CCN000013500000013500FN00000000020220901000013500NNM   20220704121957    4P0P  00000450000000716000001009632AF    HBYHVTB 006400630015
BI00B32AF    JTB2092        202208197126-8855-02             TERMINAL                 CCN000030000000030000FN00000000020220901000030000NNM   20220704121957    4P0P  00000600000000510600000795832AF    HBYHVTB 006400630015
BI00B32AF    JTB2093        202208267126-8855-02             TERMINAL                 CCN000036000000036000FN00000000020220901000036000NNM   20220704121957    4P0P  00000600000000510600000795832AF    HBYHVTB 006400630015
BI00B32AF    JTB2094        202209027126-8855-02             TERMINAL                 CCN000036000000036000FN00000000020220901000036000NNM   20220704121957    4P0P  00000600000000510600000795832AF    HBYHVTB 006400630015
BI00B32AF    JTB2091        202208117158-3006-90             RUBBER STOPPER           CCN000020000000020000FN00000000020220901000020000NNM   20220704121957    1C0C  00002000000000330600000386032AF    HBYHVTB 002700430014
BI00B32AF    JTB2092        202208197158-3006-90             RUBBER STOPPER           CCN000020000000020000FN00000000020220901000020000NNM   20220704121957    1C0C  00002000000000330600000386032AF    HBYHVTB 002700430014
BI00B32AF    JTB2093        202208267158-3006-90             RUBBER STOPPER           CCN000020000000020000FN00000000020220901000020000NNM   20220704121957    1C0C  00002000000000330600000386032AF    HBYHVTB 002700430014
BI00B32AF    JTB2093        202208267158-3009-60             RUBBER STOPPER           CCN000040000000040000FN00000000020220901000040000NNM   20220704121957    1C0C  00002000000000338000000386232AF    HBYHVTB 002700430014
BI00B32AF    JTB2094        202209027158-3009-60             RUBBER STOPPER           CCN000040000000040000FN00000000020220901000040000NNM   20220704121957    1C0C  00002000000000338000000386232AF    HBYHVTB 002700430014
BI00B32AF    JTB2092        202208197158-3070-80             RUBBER STOPPER           CCN000040000000040000FN00000000020220901000040000NNM   20220704121957    1C0C  00004000000000276000000333332AF    HBYHVTB 002700430014
BI00B32AF    JTB2093        202208267158-3070-80             RUBBER STOPPER           CCN000040000000040000FN00000000020220901000040000NNM   20220704121957    1C0C  00004000000000276000000333332AF    HBYHVTB 002700430014
BI00B32AF    JTB2091        202208117158-3165-90             WIRE SEAL                CCN000360000000360000FN00000000020220901000360000NNM   20220704121957    1C0C  00004000000000124000000172432AF    HBYHVTB 004300270014
BI00B32AF    JTB2092        202208197158-3165-90             WIRE SEAL                CCN000320000000320000FN00000000020220901000320000NNM   20220704121957    1C0C  00004000000000124000000172432AF    HBYHVTB 004300270014
BI00B32AF    JTB2093        202208267158-3165-90             WIRE SEAL                CCN000320000000320000FN00000000020220901000320000NNM   20220704121957    1C0C  00004000000000124000000172432AF    HBYHVTB 004300270014
BI00B32AF    JTB2094        202209027158-3165-90             WIRE SEAL                CCN000320000000320000FN00000000020220901000320000NNM   20220704121957    1C0C  00004000000000124000000172432AF    HBYHVTB 004300270014
BI00B32AF    JTB2091        202208117158-3166-60             WIRE SEAL                CCN000040000000040000FN00000000020220901000040000NNM   20220704121957    1C0C  00004000000000104000000152432AF    HBYHVTB 002700430014
BI00B32AF    JTB2092        202208197158-3166-60             WIRE SEAL                CCN000040000000040000FN00000000020220901000040000NNM   20220704121957    1C0C  00004000000000104000000152432AF    HBYHVTB 002700430014
BI00B32AF    JTB2093        202208267158-3166-60             WIRE SEAL                CCN000040000000040000FN00000000020220901000040000NNM   20220704121957    1C0C  00004000000000104000000152432AF    HBYHVTB 002700430014
BI00B32AF    JTB2094        202209027158-3166-60             WIRE SEAL                CCN000040000000040000FN00000000020220901000040000NNM   20220704121957    1C0C  00004000000000104000000152432AF    HBYHVTB 002700430014
BI00B32AF    JTB2093        202208267158-3167-80             WIRE SEAL                CCN000020000000020000FN00000000020220901000020000NNM   20220704121957    1C0C  00002000000000048000000109032AF    HBYHVTB 002700430014
BI00B32AF    JTB2092        202208197158-3169-40             SEALING PLUG             CCN000040000000040000FN00000000020220901000040000NNM   20220704121957    1C0C  00004000000000156000000204132AF    HBYHVTB 004300260014
BI00B32AF    JTB2093        202208267158-3169-40             SEALING PLUG             CCN000080000000080000FN00000000020220901000080000NNM   20220704121957    1C0C  00004000000000156000000204132AF    HBYHVTB 004300260014
BI00B32AF    JTB2094        202209027158-3169-40             SEALING PLUG             CCN000080000000080000FN00000000020220901000080000NNM   20220704121957    1C0C  00004000000000156000000204132AF    HBYHVTB 004300260014
BI00B32AF    JTB2092        202208197195-1463-02             TERMINAL MALE            CCN000057000000057000FN00000000020220901000057000NNM   20220704121957    4P0P  00002850000000456000000741232AF    HBYHVTB 006400630015
BI00B32AF    JTB2093        202208267195-1463-02             TERMINAL MALE            CCN000085500000085500FN00000000020220901000085500NNM   20220704121957    4P0P  00002850000000456000000741232AF    HBYHVTB 006400630015
